Date (UTC),176.1_to_177.delta,176_to_177.delta,MacVim.dmg,MacVim_10.9.dmg
2023-07-10 05:22:22,6,183,92,11
2023-07-10 07:42:15,10,361,183,13
2023-07-10 08:00:00,10,386,193,13
2023-07-10 13:17:40,19,810,466,22
2023-07-10 17:20:16,28,1291,679,26
2023-07-11 03:53:18,41,2299,1071,38
2023-07-11 08:10:13,42,2579,1208,41
2023-07-11 12:28:38,45,2832,1329,43
2023-07-12 00:38:47,52,3640,1698,49
2023-07-12 03:53:17,54,3773,1766,51
2023-07-12 09:33:32,56,4013,1887,52
2023-07-12 13:31:16,58,4164,1970,54
2023-07-13 03:53:35,68,4843,2343,69
2023-07-13 14:14:23,74,5231,2578,71
2023-07-14 03:53:36,81,5705,2826,80
2023-07-15 03:53:26,84,6330,3241,105
2023-07-16 03:53:17,87,6705,3556,117
2023-07-17 03:53:17,89,7078,3856,126
2023-07-18 03:53:16,95,7735,4317,139
2023-07-19 04:11:17,96,8285,4715,156
2023-07-20 03:53:28,100,8726,5120,171
2023-07-21 03:53:14,102,9124,5476,179
2023-07-22 03:53:31,103,9408,5839,187
2023-07-23 03:53:15,104,9611,6092,191
2023-07-24 03:53:16,105,9819,6336,198
2023-07-25 03:53:27,108,10183,6724,208
2023-07-26 03:53:24,112,10509,7109,221
2023-07-27 03:53:19,113,10804,7482,232
2023-07-28 03:53:17,116,11087,7812,249
2023-07-29 03:53:15,118,11323,8133,258
2023-07-30 03:53:19,123,11489,8379,271
2023-07-31 03:53:21,124,11638,8612,283
2023-08-01 03:53:15,128,11874,8962,296
2023-08-02 03:53:29,129,12114,9312,306
2023-08-03 03:53:17,132,12333,9637,316
2023-08-04 03:53:29,135,12558,9992,336
2023-08-05 03:53:24,137,12717,10301,343
2023-08-06 03:53:21,139,12845,10560,355
2023-08-07 03:53:21,144,12973,10915,372
2023-08-08 03:53:17,146,13174,11361,396
2023-08-09 03:53:32,147,13364,11773,417
2023-08-10 03:53:28,148,13549,12174,431
2023-08-11 03:53:31,148,13698,12575,447
2023-08-12 03:53:15,148,13845,12896,467
2023-08-13 03:53:26,151,13921,13156,478
2023-08-14 03:53:21,151,14001,13408,491
2023-08-15 03:53:38,151,14148,13755,507
2023-08-16 03:53:20,152,14295,14162,515
2023-08-17 03:53:16,153,14431,14474,522
2023-08-18 03:53:18,153,14577,14788,535
2023-08-19 03:53:22,155,14679,15107,547
2023-08-20 03:53:29,155,14762,15317,553
2023-08-21 03:53:34,157,14830,15542,566
2023-08-22 03:53:19,160,14968,15879,583
2023-08-23 03:53:10,161,15085,16274,593
2023-08-24 03:53:28,163,15234,16625,604
2023-08-25 03:53:29,163,15363,16945,625
2023-08-26 03:53:25,163,15451,17268,634
2023-08-27 03:53:22,163,15513,17481,642
2023-08-28 03:53:32,164,15605,17730,654
2023-08-29 03:53:27,164,15743,18123,669
2023-08-30 03:53:29,164,15871,18486,676
2023-08-31 03:53:26,164,15977,18853,689
2023-09-01 03:53:31,164,16082,19205,703
2023-09-02 03:53:27,165,16158,19529,708
2023-09-03 03:53:31,167,16203,19749,719
2023-09-04 03:53:23,167,16263,19982,733
2023-09-05 03:53:30,167,16352,20296,751
2023-09-06 03:53:17,169,16448,20702,764
2023-09-07 03:53:20,170,16541,21069,777
2023-09-08 03:53:25,171,16640,21409,793
2023-09-09 03:53:16,171,16711,21720,799
2023-09-10 03:53:14,172,16754,21950,810
2023-09-11 03:53:19,173,16811,22184,818
2023-09-12 03:53:14,174,16926,22548,827
2023-09-12 13:59:08,174,16961,22685,831
2023-09-12 15:56:58,174,16962,22690,832
2023-09-12 19:09:18,174,16963,22692,832
2023-09-12 22:39:19,174,16964,22693,832
2023-09-13 03:53:28,174,16964,22695,832
