Date (UTC),162_to_163.delta,MacVim.dmg,MacVim_non_notarized.dmg
2023-06-14 02:18:31,21202,56188,600
2023-06-14 03:53:15,21202,56188,600
2023-06-15 03:53:28,21202,56188,600
2023-06-16 03:53:35,21202,56188,600
2023-06-17 03:53:23,21202,56188,600
2023-06-18 03:53:21,21202,56188,600
2023-06-19 03:53:28,21202,56188,600
2023-06-20 03:53:15,21202,56188,600
2023-06-21 03:53:15,21202,56188,600
2023-06-22 03:53:29,21202,56188,600
2023-06-23 03:53:21,21202,56188,600
2023-06-24 03:53:35,21202,56188,600
2023-06-25 03:53:22,21202,56188,600
2023-06-26 03:53:20,21202,56188,601
2023-06-27 03:53:26,21202,56188,601
2023-06-28 03:53:27,21202,56188,601
2023-06-29 03:53:16,21202,56188,601
2023-06-30 03:53:34,21202,56188,601
2023-07-01 03:53:24,21202,56188,601
2023-07-02 03:53:17,21202,56188,601
2023-07-03 03:53:27,21202,56188,601
2023-07-04 03:53:22,21202,56188,601
