Date (UTC),176_to_176.1.delta,MacVim.dmg
2023-03-19 21:40:52,2,3
2023-03-19 21:56:40,2,3
2023-03-20 07:20:38,9,9
2023-03-20 08:25:22,11,10
2023-03-20 15:09:56,16,16
2023-03-20 16:53:06,17,19
2023-03-20 21:51:30,22,20
2023-03-20 23:37:31,23,22
2023-03-21 03:50:46,24,23
2023-03-21 13:29:33,27,36
2023-03-21 23:38:55,32,42
2023-03-22 12:25:44,32,42
2023-03-23 04:48:40,38,45
2023-03-23 07:40:13,39,47
2023-03-23 08:28:04,39,48
2023-03-23 10:26:43,40,48
2023-03-23 13:00:31,40,48
2023-03-23 14:31:20,40,48
2023-03-23 21:43:22,41,51
2023-03-25 05:20:52,43,77
2023-03-26 22:42:41,47,81
2023-03-27 07:40:30,48,82
2023-03-27 22:31:57,49,84
2023-03-27 23:41:08,49,84
2023-03-28 01:46:44,49,84
2023-03-28 04:04:04,49,85
2023-03-28 21:30:14,55,94
2023-03-28 22:03:35,55,94
2023-03-31 20:29:10,68,108
2023-04-01 08:41:43,69,112
2023-04-02 15:00:44,72,116
2023-04-02 15:31:09,73,117
2023-04-04 03:10:16,79,129
2023-04-07 19:06:02,87,148
2023-04-09 11:50:59,90,154
2023-04-10 05:48:20,92,159
2023-04-12 08:59:56,95,174
2023-04-12 13:51:57,95,175
2023-04-12 15:03:19,95,175
2023-04-13 05:02:53,96,179
2023-04-15 07:35:19,101,186
2023-04-18 08:33:29,106,195
2023-04-19 11:04:31,107,199
2023-04-19 15:55:24,107,199
2023-04-20 10:08:40,108,202
2023-04-22 09:12:51,110,210
2023-04-22 14:05:05,110,210
2023-04-25 07:52:19,116,220
2023-04-26 09:07:44,120,224
2023-05-13 18:01:02,157,319
2023-05-16 16:54:09,164,327
2023-05-20 06:58:10,169,343
2023-05-25 16:42:51,176,362
2023-05-30 07:31:03,188,383
2023-06-05 15:54:00,201,397
2023-06-09 01:26:56,204,419
2023-06-10 19:57:44,208,431
2023-06-11 20:05:04,209,432
2023-06-14 02:18:31,213,445
2023-06-14 03:53:15,213,445
2023-06-15 03:53:28,213,448
2023-06-16 03:53:35,214,455
2023-06-17 03:53:23,214,461
2023-06-18 03:53:21,214,462
2023-06-19 03:53:28,214,466
2023-06-20 03:53:15,219,471
2023-06-21 03:53:15,222,476
2023-06-22 03:53:29,224,478
2023-06-23 03:53:21,226,483
2023-06-24 03:53:35,226,486
2023-06-25 03:53:22,227,488
2023-06-26 03:53:20,227,494
2023-06-27 03:53:26,228,504
2023-06-28 03:53:27,230,507
2023-06-29 03:53:16,231,508
2023-06-30 03:53:34,232,511
