Date (UTC),MacVim.dmg,MacVim_10.9.dmg
2023-02-07 16:16:57,519,11
2023-02-07 16:25:25,545,11
2023-02-07 16:33:53,565,11
2023-02-07 16:46:42,593,11
2023-02-07 16:55:13,616,11
2023-02-07 17:13:31,666,12
2023-02-07 17:19:37,686,13
2023-02-07 18:37:46,871,14
2023-02-07 20:59:13,1214,19
2023-02-07 21:55:15,1345,20
2023-02-08 00:27:36,1645,23
2023-02-08 01:29:31,1766,23
2023-02-08 06:17:46,2300,34
2023-02-08 06:44:47,2365,36
2023-02-08 08:45:33,2579,37
2023-02-08 08:45:56,2580,37
2023-02-08 10:31:52,2753,40
2023-02-08 19:39:18,3861,47
2023-02-08 22:29:02,4126,52
2023-02-09 00:40:23,4315,53
2023-02-09 03:11:40,4516,56
2023-02-09 05:30:07,4677,58
2023-02-09 14:54:59,5420,68
2023-02-09 15:54:12,5527,68
2023-02-09 20:01:16,5883,74
2023-02-09 23:29:52,6112,77
2023-02-10 00:52:11,6181,78
2023-02-10 01:05:12,6193,78
2023-02-10 01:19:58,6210,78
2023-02-10 19:13:31,7319,89
2023-02-10 20:42:07,7408,89
2023-02-11 01:02:20,7600,94
2023-02-11 08:10:23,7838,95
2023-02-11 08:39:09,7853,95
2023-02-11 12:02:29,7953,98
2023-02-11 17:19:25,8166,103
2023-02-11 22:21:27,8350,107
2023-02-12 00:31:50,8419,110
2023-02-12 06:54:15,8643,114
2023-02-12 10:28:23,8765,116
2023-02-12 10:52:11,8780,116
2023-02-12 16:27:46,8980,116
2023-02-13 02:51:03,9415,119
2023-02-13 04:26:38,9478,120
2023-02-13 06:54:48,9610,122
2023-02-13 12:27:37,9895,124
2023-02-13 13:55:41,9972,124
2023-02-13 16:46:03,10168,124
2023-02-13 19:42:54,10377,126
2023-02-13 22:24:28,10544,127
2023-02-14 01:11:42,10676,128
2023-02-14 05:44:02,10860,130
2023-02-14 08:25:53,10973,131
2023-02-15 18:17:01,12634,144
2023-02-15 20:29:15,12735,145
2023-02-15 20:50:11,12752,145
2023-02-16 06:44:21,13159,150
2023-02-16 18:04:08,13647,156
2023-02-16 22:30:27,13852,158
2023-02-17 00:10:26,13897,159
2023-02-17 20:31:47,14633,163
