Date (UTC),165_to_166.delta,MacVim.dmg
2023-06-14 02:18:31,16680,40572
2023-06-14 03:53:15,16680,40572
2023-06-15 03:53:28,16680,40572
2023-06-16 03:53:35,16680,40572
2023-06-17 03:53:23,16680,40572
2023-06-18 03:53:21,16680,40572
2023-06-19 03:53:28,16680,40572
2023-06-20 03:53:15,16680,40572
2023-06-21 03:53:15,16680,40572
2023-06-22 03:53:29,16680,40572
2023-06-23 03:53:21,16680,40572
2023-06-24 03:53:35,16680,40572
2023-06-25 03:53:22,16680,40572
2023-06-26 03:53:20,16680,40572
2023-06-27 03:53:26,16680,40572
2023-06-28 03:53:27,16680,40573
2023-06-29 03:53:16,16680,40573
2023-06-30 03:53:34,16680,40573
2023-07-01 03:53:24,16680,40573
2023-07-02 03:53:17,16680,40573
2023-07-03 03:53:27,16680,40573
2023-07-04 03:53:22,16680,40573
2023-07-05 03:53:28,16680,40573
2023-07-06 03:53:38,16680,40573
2023-07-07 03:53:16,16680,40573
2023-07-08 03:53:27,16680,40573
2023-07-09 03:53:32,16680,40574
2023-07-10 05:22:22,16680,40574
2023-07-10 07:42:15,16680,40574
2023-07-10 08:00:00,16680,40574
2023-07-10 13:17:40,16680,40574
2023-07-10 17:20:16,16680,40574
2023-07-11 03:53:18,16680,40574
2023-07-11 08:10:13,16680,40574
2023-07-11 12:28:38,16680,40574
2023-07-12 00:38:47,16680,40574
2023-07-12 03:53:17,16680,40574
2023-07-12 09:33:32,16680,40574
2023-07-12 13:31:16,16680,40574
2023-07-13 03:53:35,16680,40574
2023-07-13 14:14:23,16680,40574
2023-07-14 03:53:36,16680,40575
2023-07-15 03:53:26,16680,40575
2023-07-16 03:53:17,16680,40575
2023-07-17 03:53:17,16680,40575
2023-07-18 03:53:16,16680,40575
2023-07-19 04:11:17,16680,40575
2023-07-20 03:53:28,16680,40575
2023-07-21 03:53:14,16680,40575
2023-07-22 03:53:31,16680,40576
2023-07-23 03:53:15,16680,40576
2023-07-24 03:53:16,16680,40576
2023-07-25 03:53:27,16680,40576
2023-07-26 03:53:24,16680,40576
2023-07-27 03:53:19,16680,40576
2023-07-28 03:53:17,16680,40576
2023-07-29 03:53:15,16680,40576
2023-07-30 03:53:19,16680,40576
2023-07-31 03:53:21,16680,40576
2023-08-01 03:53:15,16680,40576
2023-08-02 03:53:29,16680,40576
2023-08-03 03:53:17,16680,40576
2023-08-04 03:53:29,16680,40576
2023-08-05 03:53:24,16680,40576
2023-08-06 03:53:21,16680,40576
2023-08-07 03:53:21,16680,40576
2023-08-08 03:53:17,16680,40576
2023-08-09 03:53:32,16680,40576
2023-08-10 03:53:28,16680,40576
2023-08-11 03:53:31,16680,40576
2023-08-12 03:53:15,16680,40576
2023-08-13 03:53:26,16680,40576
2023-08-14 03:53:21,16680,40576
