Date (UTC),180_to_182.delta,181.2_to_182.delta,181_to_182.delta,MacVim.dmg,MacVim_10.9.dmg
2025-10-30 20:56:39,9,9,166,23,4
2025-10-31 03:59:38,34,21,1047,252,7
2025-11-01 03:58:19,135,56,3865,1017,28
2025-11-02 04:01:07,168,69,4770,1390,42
2025-11-03 04:15:13,191,81,5547,1682,54
2025-11-04 03:58:42,256,93,6926,2159,61
2025-11-05 04:00:25,299,101,7977,2540,81
2025-11-06 04:02:50,333,109,8759,2921,94
2025-11-07 03:59:08,376,117,9438,3264,105
2025-11-08 03:55:02,413,122,9991,3568,110
2025-11-09 03:59:30,430,126,10270,3755,118
2025-11-10 04:14:43,450,128,10614,3969,123
2025-11-11 04:02:15,477,132,11135,4335,133
2025-11-12 04:00:33,507,135,11557,4659,149
2025-11-13 04:03:10,530,137,12015,4981,158
2025-11-14 04:01:02,554,139,12393,5280,162
2025-11-15 03:56:34,574,140,12710,5539,175
2025-11-16 04:13:14,584,142,12898,5760,182
2025-11-17 04:03:21,600,142,13081,5984,194
2025-11-18 04:00:34,621,143,13415,6300,209
2025-11-19 04:00:08,639,144,13698,6617,227
2025-11-20 03:59:09,661,145,13989,6907,237
2025-11-21 03:59:12,686,147,14213,7218,250
2025-11-22 03:55:49,704,147,14426,7462,262
2025-11-23 04:20:01,722,148,14570,7616,275
2025-11-24 04:20:37,738,151,14728,7790,285
2025-11-25 04:03:38,765,152,14945,8047,291
2025-11-26 04:03:10,788,155,15187,8332,316
2025-11-27 04:00:25,802,157,15364,8579,322
2025-11-28 04:00:26,822,157,15501,8815,326
2025-11-29 03:59:41,844,157,15624,9040,334
2025-11-30 04:20:42,854,157,15711,9191,338
2025-12-01 04:37:59,865,157,15844,9381,342
2025-12-02 04:17:37,882,158,16055,9633,350
2025-12-03 04:15:57,892,158,16272,9915,371
2025-12-04 04:17:00,902,159,16440,10177,384
2025-12-05 04:16:40,916,160,16598,10441,394
2025-12-06 03:58:14,932,160,16730,10674,414
2025-12-07 04:20:24,940,161,16824,10808,422
2025-12-08 04:20:19,954,162,16923,10989,429
2025-12-09 04:16:14,965,162,17087,11247,442
2025-12-10 04:19:43,978,164,17245,11527,483
2025-12-11 04:21:26,987,164,17385,11754,497
2025-12-12 04:20:36,1006,165,17524,12060,510
2025-12-13 04:03:45,1021,166,17633,12403,542
2025-12-14 04:23:24,1033,166,17734,12665,566
2025-12-15 04:28:38,1047,167,17825,12955,573
2025-12-16 04:21:23,1060,168,17971,13330,586
2025-12-17 04:20:07,1086,169,18090,13687,600
2025-12-18 04:20:49,1102,169,18185,14028,609
2025-12-19 04:21:00,1115,169,18286,14356,621
2025-12-20 04:03:36,1139,169,18400,14675,627
2025-12-21 04:24:04,1150,169,18466,14942,646
2025-12-22 04:28:48,1154,170,18553,15207,652
2025-12-23 04:23:56,1163,170,18661,15495,659
2025-12-24 04:22:11,1172,170,18788,15809,670
2025-12-25 04:23:46,1181,170,18866,16078,680
2025-12-26 04:21:22,1191,170,18927,16353,691
2025-12-27 04:19:10,1201,170,19001,16621,704
2025-12-28 04:33:41,1210,171,19060,16876,718
2025-12-29 04:37:52,1220,171,19123,17125,734
